"dB"      "codedlen"      "PLR" using |A|=1000
11    7100  0
11    7200  0
11    7300  0
11    7400  0
11    7500  0
11    7600  0
11    7700  0
11    7800  0
11    7900  0
11    8000  0
11    8100  0
11    8200  0
11    8300  0
11    8400  0
11    8500  0
11    8600  0
11    8700  0
11    8800  0
11    8900  0
11    9000  0
11    9200  0
11    9100  0
11    9300  0
11    9400  0
11    9500  0
11    9700  0
11    9600  0
12    1000  1
11    9800  0
11    9900  0
12    1200  0.66149
12    1100  0.9958
12    1300  0.21629
12    1400  0.06589
12    1500  0.03229
12    1600  0.01637
12    1700  0.00895
12    1800  0.00118
12    1900  0.0002
12    2000  0.00026
12    2100  7e-05
12    2200  9e-05
12    2300  0
12    2400  0
12    2500  0
12    2600  1e-05
12    2700  0
12    2800  0
12    2900  0
12    3000  0
12    3100  0
12    3200  0
12    3300  0
12    3400  0
12    3500  0
12    3600  0
12    3700  0
12    3800  0
12    3900  0
12    4000  0
12    4100  0
12    4200  0
12    4300  0
12    4400  0
12    4500  0
12    4600  0
12    4700  0
12    4800  0
12    4900  0
12    5000  0
12    5100  0
12    5200  0
12    5300  0
12    5400  0
12    5500  0
12    5600  0
12    5700  0
12    5800  0
12    5900  0
12    6000  0
12    6100  0
12    6200  0
12    6300  0
12    6400  0
12    6500  0
12    6600  0
12    6700  0
12    6800  0
12    6900  0
12    7000  0
12    7100  0
12    7200  0
12    7300  0
12    7400  0
12    7500  0
12    7600  0
12    7700  0
12    7800  0
12    7900  0
12    8000  0
12    8100  0
12    8200  0
12    8300  0
12    8400  0
12    8500  0
12    8600  0
12    8700  0
12    8800  0
12    8900  0
12    9000  0
12    9100  0
12    9200  0
12    9300  0
12    9400  0
12    9500  0
12    9600  0
13    1000  1
12    9700  0
12    9800  0
12    9900  0
13    1100  0.9472
13    1200  0.39743
13    1300  0.10262
13    1400  0.02729
13    1500  0.01408
13    1600  0.00717
13    1700  0.00392
13    1800  0.00035
13    1900  9e-05
13    2000  0.0001
13    2100  3e-05
13    2200  1e-05
13    2300  2e-05
13    2400  0
13    2500  0
13    2600  0
13    2700  0
13    2800  0
13    2900  0
13    3000  0
13    3100  0
13    3200  0
13    3300  0
13    3400  0
13    3500  0
13    3600  0
13    3700  0
13    3800  0
13    3900  0
13    4000  0
13    4100  0
13    4200  0
13    4300  0
13    4400  0
13    4500  0
13    4600  0
13    4700  0
13    4800  0
13    4900  0
13    5000  0
13    5100  0
13    5200  0
13    5300  0
13    5400  0
13    5500  0
13    5600  0
13    5700  0
13    5800  0
13    5900  0
13    6000  0
13    6100  0
13    6200  0
13    6300  0
13    6400  0
13    6500  0
13    6600  0
13    6700  0
13    6800  0
13    6900  0
13    7000  0
13    7100  0
13    7200  0
13    7300  0
13    7400  0
13    7500  0
13    7600  0
13    7700  0
13    7800  0
13    7900  0
13    8000  0
13    8100  0
13    8200  0
13    8300  0
13    8400  0
13    8500  0
13    8600  0
13    8700  0
13    8800  0
13    8900  0
13    9000  0
13    9100  0
13    9200  0
13    9300  0
13    9400  0
13    9500  0
13    9600  0
13    9700  0
13    9800  0
14    1000  1
13    9900  0
14    1100  0.78853
14    1200  0.21248
14    1300  0.04581
14    1400  0.01148
14    1500  0.00554
14    1600  0.00348
14    1700  0.00191
14    1800  0.00011
14    1900  1e-05
14    2000  1e-05
14    2100  0
14    2200  1e-05
14    2300  1e-05
14    2400  0
14    2500  0
14    2600  0
14    2700  0
14    2800  0
14    2900  0
14    3000  0
14    3100  0
14    3200  0
14    3300  0
14    3400  0
14    3500  0
14    3600  0
14    3700  0
14    3800  0
14    3900  0
14    4000  0
14    4100  0
14    4200  0
14    4400  0
14    4300  0
14    4500  0
14    4600  0
14    4700  0
14    4800  0
14    4900  0
14    5000  0
14    5100  0
14    5200  0
14    5300  0
14    5400  0
14    5500  0
14    5600  0
14    5700  0
14    5800  0
14    5900  0
14    6000  0
14    6100  0
14    6200  0
14    6300  0
14    6400  0
14    6500  0
14    6600  0
14    6700  0
14    6800  0
14    6900  0
14    7000  0
14    7100  0
14    7200  0
14    7300  0
14    7400  0
14    7500  0
14    7600  0
14    7700  0
14    7800  0
14    7900  0
14    8000  0
14    8100  0
14    8200  0
14    8300  0
14    8400  0
14    8500  0
14    8600  0
14    8700  0
14    8800  0
14    8900  0
14    9000  0
14    9100  0
14    9200  0
14    9300  0
14    9400  0
14    9500  0
14    9600  0
15    1000  1
14    9700  0
14    9800  0
14    9900  0
15    1100  0.55381
15    1200  0.10982
15    1300  0.02098
15    1400  0.00431
15    1500  0.00251
15    1600  0.00143
15    1700  0.00093
15    1800  0
15    1900  1e-05
15    2000  0
15    2100  0
15    2200  0
15    2300  0
15    2400  0
15    2500  0
15    2600  0
15    2700  0
15    2800  0
15    2900  0
15    3000  0
15    3100  0
15    3200  0
15    3300  0
15    3400  0
15    3500  0
15    3600  0
15    3700  0
15    3800  0
15    3900  0
15    4000  0
15    4100  0
15    4200  0
15    4300  0
15    4400  0
